Name;Taille vis;PartNumber;diametre_interieur;diametre_exterieur;epaisseur;diametreInterieur;hauteur;largeur;diametreExterieur;diametreVis;Longueur;LongueurFiletee;largeurTete;hauteurTete;pas;diametreTete;LargeurEmpreinte
;;;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TabledeparamétrageRondelle;;;;;;;;;;;;;;;;;
rondelle_M6;6;rondelle_M6;0,0064 m;0,012 m;1,6e-006 m;;;;;;;;;;;;
rondelle_M12;12;rondelle_M12;0,013 m;0,024 m;2,5e-006 m;;;;;;;;;;;;
rondelle_M3;3;rondelle_M3;0,0032 m;0,007 m;5e-007 m;;;;;;;;;;;;
rondelle_M5;5;rondelle_M5;0,0053 m;0,01 m;1e-006 m;;;;;;;;;;;;
rondelle_M10;10;rondelle_M10;0,0105 m;0,02 m;2e-006 m;;;;;;;;;;;;
rondelle_M8;8;rondelle_M8;0,0084 m;0,016 m;1,6e-006 m;;;;;;;;;;;;
rondelle_M2;2;rondelle_M2;0,0022 m;0,005 m;3e-007 m;;;;;;;;;;;;
rondelle_M16;16;rondelle_M16;0,017 m;0,03 m;3e-006 m;;;;;;;;;;;;
rondelle_M4;4;rondelle_M4;0,0043 m;0,009 m;8e-007 m;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tabledeparamétrage.rondelleLarge;;;;;;;;;;;;;;;;;
rondelle_M6_L;6;rondelle_M6_L;0,0064 m;0,018 m;0,0016 m;;;;;;;;;;;;
rondelle_M10_L;10;rondelle_M10_L;0,0105 m;0,03 m;0,0025 m;;;;;;;;;;;;
rondelle_M5_L;5;rondelle_M5_L;0,0053 m;0,015 m;0,0012 m;;;;;;;;;;;;
rondelle_M3_L;3;rondelle_M3_L;0,0032 m;0,009 m;0,0008 m;;;;;;;;;;;;
rondelle_M16_L;16;rondelle_M16_L;0,017 m;0,05 m;0,003 m;;;;;;;;;;;;
